mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,C,l1_ratio,mean_auc,std_auc,rank,n_nonzero
0.11204848289489747,0.051779581470815066,0.00100250244140625,1.784161275279017e-07,0.1,0.9,"{'model__C': 0.1, 'model__l1_ratio': 0.9}",0.7663659495720564,0.8430488086976636,0.7434651862132777,0.7847559565116817,0.8424242424242424,0.7960120286837843,0.04033190320187405,3,0.1,0.9,0.7960120286837843,0.04033190320187405,3,44
0.16595683097839356,0.08346378096672002,0.0016043663024902343,0.0004911874870672969,0.2,0.9,"{'model__C': 0.2, 'model__l1_ratio': 0.9}",0.7550312283136711,0.8379597501734907,0.7461253758963683,0.7823270876705991,0.8488344988344988,0.7940555881777256,0.04215701158662457,7,0.2,0.9,0.7940555881777256,0.04215701158662457,7,54
0.2654853820800781,0.12067947668420498,0.0014585494995117188,0.0004594122387738851,0.5,0.9,"{'model__C': 0.5, 'model__l1_ratio': 0.9}",0.7493638676844784,0.8250057830210501,0.738029146426093,0.7779319916724496,0.8461538461538463,0.7872969269915835,0.04204765857952477,15,0.5,0.9,0.7872969269915835,0.04204765857952477,15,71
0.4124930381774902,0.09008620567752777,0.0008011341094970703,0.0004005671789174682,1.0,0.9,"{'model__C': 1.0, 'model__l1_ratio': 0.9}",0.7478602822114272,0.8195697432338653,0.7342123525329632,0.7746934998843396,0.8406759906759907,0.7834023737077171,0.04085850891416466,19,1.0,0.9,0.7834023737077171,0.04085850891416466,19,74
0.024367380142211913,0.002404214017497836,0.0012065887451171875,0.00040724398582814026,0.005,0.95,"{'model__C': 0.005, 'model__l1_ratio': 0.95}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,30,0.005,0.95,0.5,0.0,30,0
0.07949414253234863,0.026994489038092893,0.001605844497680664,0.000491910412469885,0.01,0.95,"{'model__C': 0.01, 'model__l1_ratio': 0.95}",0.7829053897756186,0.7755031228313671,0.6905505436039787,0.7026370575988897,0.7684731934731934,0.7440138614566095,0.03917333208422593,29,0.01,0.95,0.7440138614566095,0.03917333208422593,29,6
0.04844198226928711,0.011849567213211527,0.0012782096862792968,0.00038332017670863837,0.02,0.95,"{'model__C': 0.02, 'model__l1_ratio': 0.95}",0.784293314827666,0.8313671061762664,0.7085357390700903,0.7750404811473514,0.7907925407925408,0.778005836402783,0.0397123282146429,24,0.02,0.95,0.778005836402783,0.0397123282146429,24,13
0.06258101463317871,0.017903434006542356,0.0010030269622802734,3.1880406666654165e-06,0.05,0.95,"{'model__C': 0.05, 'model__l1_ratio': 0.95}",0.7827897293546149,0.8387693731205182,0.7236872542216053,0.7814018043025678,0.8243589743589744,0.7902014270716562,0.04020468936316773,12,0.05,0.95,0.7902014270716562,0.04020468936316773,12,34
0.1205660343170166,0.06004529927742898,0.0010025501251220703,6.572746635480032e-07,0.1,0.95,"{'model__C': 0.1, 'model__l1_ratio': 0.95}",0.7663659495720565,0.842586167013648,0.7420772611612306,0.7839463335646542,0.8410256410256409,0.7952002704674459,0.0403125564888703,5,0.1,0.95,0.7952002704674459,0.0403125564888703,5,44
0.17676467895507814,0.0990890605687093,0.0012032032012939454,0.00040023518252981795,0.2,0.95,"{'model__C': 0.2, 'model__l1_ratio': 0.95}",0.7552625491556789,0.8388850335415221,0.7468193384223919,0.7826740689336109,0.8487179487179487,0.7944717877542306,0.042101042430885235,6,0.2,0.95,0.7944717877542306,0.042101042430885235,6,52
0.2613879680633545,0.12180675288224521,0.0012034893035888672,0.0004014017180326538,0.5,0.95,"{'model__C': 0.5, 'model__l1_ratio': 0.95}",0.7494795281054824,0.825352764284062,0.7383761276891048,0.7786259541984732,0.8456876456876457,0.7875044039929536,0.04184756523485332,14,0.5,0.95,0.7875044039929536,0.04184756523485332,14,71
0.3864773750305176,0.08773885367490347,0.0012015819549560547,0.0004003287036155747,1.0,0.95,"{'model__C': 1.0, 'model__l1_ratio': 0.95}",0.7476289613694194,0.8200323849178811,0.7343280129539672,0.7749248207263475,0.8411421911421912,0.7836112742219614,0.0410738964788243,18,1.0,0.95,0.7836112742219614,0.0410738964788243,18,74
